title,description,category,cloud_provider,severity,is_misconfiguration,public_exposure,privilege_escalation,data_exposure,dos,unencrypted,iam,s3_bucket,ssrf_rce
,Alibaba Cloud ECS with misconfigured snapshot policy allowing data tampering.,Data Exposure,Alibaba Cloud,25,1,0,0,1,0,0,1,0,0
,AWS Lambda with misconfigured environment variable allowing code injection.,Code Injection,AWS,0,1,0,0,0,0,0,0,0,0
,Azure Kubernetes with misconfigured pod network allowing lateral movement.,Network Security,Azure,0,1,0,0,0,0,0,0,0,0
,GCP Cloud Run with misconfigured environment allowing privilege escalation.,Privilege Escalation,GCP,25,1,0,1,0,0,0,0,0,0
,Oracle Cloud Load Balancer with misconfigured backend health check allowing DoS attacks.,Denial of Service,Oracle Cloud,10,1,0,0,0,1,0,0,0,0
,IBM Cloud Functions with misconfigured trigger policy allowing unauthorized invocation.,Access Control,IBM Cloud,0,1,0,0,0,0,0,1,0,0
,Alibaba Cloud OSS with misconfigured CORS policy allowing data exfiltration.,Data Exfiltration,Alibaba Cloud,0,1,0,0,0,0,0,1,1,0
,AWS API Gateway with misconfigured throttling allowing DoS attacks.,Denial of Service,AWS,10,1,0,0,0,1,0,0,0,0
,Azure App Service with misconfigured authentication allowing session hijacking.,Session Management,Azure,0,1,0,0,0,0,0,0,0,0
,GCP Cloud Storage with misconfigured bucket policy allowing data tampering.,Data Exposure,GCP,25,1,0,0,1,0,0,1,1,0
,Oracle Cloud Database with misconfigured TDE key allowing data exposure.,Encryption,Oracle Cloud,25,1,0,0,1,0,0,0,0,0
,AWS ECS with misconfigured IAM role allowing cross-service privilege escalation.,Privilege Escalation,AWS,25,1,0,1,0,0,0,1,0,0
,Azure Function with misconfigured blob trigger allowing data tampering.,Data Exposure,Azure,55,1,1,0,1,0,0,0,0,0
,GCP Cloud Run with misconfigured CPU allocation allowing resource exhaustion.,Denial of Service,GCP,10,1,0,0,0,1,0,0,0,0
,Oracle Cloud Compute with misconfigured instance principal allowing privilege escalation.,Privilege Escalation,Oracle Cloud,25,1,0,1,0,0,0,1,0,0
,IBM Cloud Object Storage with misconfigured bucket policy allowing data tampering.,Data Exposure,IBM Cloud,25,1,0,0,1,0,0,1,1,0
,Alibaba Cloud SLB with misconfigured SSL ciphers allowing weak encryption.,Encryption,Alibaba Cloud,0,1,0,0,0,0,0,0,0,0
,AWS S3 bucket with misconfigured lifecycle policy exposing archived data.,Data Exposure,AWS,25,1,0,0,1,0,0,1,1,0
,Azure SQL Database with misconfigured auditing policy allowing undetected access.,Monitoring,Azure,0,1,0,0,0,0,0,1,0,0
,GCP Cloud Functions with misconfigured logging exposing sensitive data.,Data Exposure,GCP,25,1,0,0,1,0,0,0,0,0
,Oracle Cloud VCN with misconfigured subnet allowing lateral movement.,Network Security,Oracle Cloud,0,1,0,0,0,0,0,0,0,0
,IBM Cloud Kubernetes with misconfigured namespace allowing privilege escalation.,Privilege Escalation,IBM Cloud,50,1,0,1,1,0,0,0,0,0
,Alibaba Cloud RDS with misconfigured encryption key allowing data exposure.,Encryption,Alibaba Cloud,25,1,0,0,1,0,0,0,0,0
,AWS API Gateway with misconfigured endpoint type allowing unauthorized access.,Access Control,AWS,0,1,0,0,0,0,0,0,0,0
,Azure Cosmos DB with misconfigured firewall allowing unauthorized access.,Access Control,Azure,0,1,0,0,0,0,0,0,0,0
,GCP Cloud Storage with misconfigured uniform bucket-level access exposing data.,Data Exposure,GCP,25,1,0,0,1,0,0,0,1,0
,Oracle Cloud Database with misconfigured backup policy allowing data exposure.,Data Exposure,Oracle Cloud,55,1,1,0,1,0,0,1,1,0
,IBM Cloud Functions with misconfigured runtime allowing code injection.,Code Injection,IBM Cloud,0,1,0,0,0,0,0,0,0,0
,Alibaba Cloud OSS with misconfigured encryption configuration exposing data.,Encryption,Alibaba Cloud,0,1,0,0,0,0,0,0,1,0
,AWS CloudTrail with misconfigured encryption allowing log exposure.,Data Exposure,AWS,25,1,0,0,1,0,0,0,1,0
,Azure Virtual Machine with misconfigured network interface allowing traffic sniffing.,Network Security,Azure,0,1,0,0,0,0,0,0,0,0
,GCP Cloud Functions with misconfigured timeout allowing resource exhaustion.,Denial of Service,GCP,10,1,0,0,0,1,0,0,0,0
,Oracle Cloud Load Balancer with misconfigured session persistence allowing session hijacking.,Session Management,Oracle Cloud,0,1,0,0,0,0,0,0,0,0
,IBM Cloud VPC with misconfigured security group allowing unauthorized access.,Access Control,IBM Cloud,0,1,0,0,0,0,0,0,0,0
,Alibaba Cloud ECS with misconfigured disk encryption exposing data.,Encryption,Alibaba Cloud,0,1,0,0,0,0,0,0,0,0
,AWS EKS with misconfigured network policy allowing lateral movement.,Network Security,AWS,0,1,0,0,0,0,0,1,0,0
,Azure API Management with misconfigured rate limiting allowing DoS attacks.,Denial of Service,Azure,10,1,0,0,0,1,0,0,0,0
,GCP Cloud SQL with misconfigured SSL/TLS settings allowing insecure connections.,Encryption,GCP,0,1,0,0,0,0,0,0,0,0
,Oracle Cloud Identity with misconfigured password policy allowing weak credentials.,Authentication,Oracle Cloud,25,1,0,0,1,0,0,1,0,0
,IBM Cloud Functions with misconfigured environment variables exposing secrets.,Data Exposure,IBM Cloud,25,1,0,0,1,0,0,0,0,0
,Alibaba Cloud OSS with misconfigured bucket tagging allowing unauthorized access.,Access Control,Alibaba Cloud,0,1,0,0,0,0,0,0,1,0
,AWS SNS with misconfigured topic attributes allowing message tampering.,Data Exposure,AWS,25,1,0,0,1,0,0,0,0,0
,Azure Event Hub with misconfigured SAS key allowing unauthorized access.,Access Control,Azure,0,1,0,0,0,0,0,0,0,0
,GCP BigQuery with misconfigured query cache allowing data leakage.,Data Exposure,GCP,25,1,0,0,1,0,0,0,0,0
,Oracle Cloud Object Storage with misconfigured versioning exposing deleted objects.,Data Exposure,Oracle Cloud,25,1,0,0,1,0,0,0,1,0
,IBM Cloud Kubernetes with misconfigured readiness probe allowing resource exhaustion.,Denial of Service,IBM Cloud,10,1,0,0,0,1,0,0,0,0
,Alibaba Cloud ECS with misconfigured user data allowing code injection.,Code Injection,Alibaba Cloud,0,1,0,0,0,0,0,0,0,0
,AWS CloudFormation with misconfigured output exposing sensitive data.,Data Exposure,AWS,25,1,0,0,1,0,0,0,0,0
,Azure Machine Learning with misconfigured dataset allowing data leakage.,Data Exposure,Azure,25,1,0,0,1,0,0,0,0,0
,GCP Cloud Monitoring with misconfigured dashboard exposing sensitive metrics.,Data Exposure,GCP,25,1,0,0,1,0,0,0,0,0
,Oracle Cloud Functions with misconfigured trigger allowing unauthorized invocation.,Access Control,Oracle Cloud,0,1,0,0,0,0,0,0,0,0
,IBM Cloud VPC with misconfigured NAT gateway allowing traffic sniffing.,Network Security,IBM Cloud,0,1,0,0,0,0,0,0,0,0
,Alibaba Cloud RDS with misconfigured log rotation exposing sensitive data.,Data Exposure,Alibaba Cloud,55,1,1,0,1,0,0,0,1,0
,AWS Redshift with misconfigured audit logging exposing query data.,Data Exposure,AWS,55,1,1,0,1,0,0,0,1,0
,Azure Data Lake with misconfigured role assignment allowing privilege escalation.,Privilege Escalation,Azure,25,1,0,1,0,0,0,1,0,0
,GCP Cloud Composer with misconfigured web server allowing unauthorized access.,Access Control,GCP,0,1,0,0,0,0,0,0,0,0
,Oracle Cloud VCN with misconfigured route table allowing traffic interception.,Network Security,Oracle Cloud,0,1,0,0,0,0,0,0,0,0
,IBM Cloud Kubernetes with misconfigured resource quota allowing resource exhaustion.,Denial of Service,IBM Cloud,10,1,0,0,0,1,0,0,0,0
,Alibaba Cloud OSS with misconfigured bucket encryption exposing data.,Encryption,Alibaba Cloud,0,1,0,0,0,0,0,0,1,0
,AWS S3 bucket with misconfigured bucket logging exposing access patterns.,Data Exposure,AWS,55,1,1,0,1,0,0,0,1,0
,Azure Stream Analytics with misconfigured job allowing code injection.,Code Injection,Azure,0,1,0,0,0,0,0,0,0,0
,GCP Cloud Armor with misconfigured rate limiting allowing DoS attacks.,Denial of Service,GCP,10,1,0,0,0,1,0,0,0,0
,Oracle Cloud File Storage with misconfigured export policy allowing data tampering.,Data Exposure,Oracle Cloud,25,1,0,0,1,0,0,1,0,0
,IBM Cloud Databases with misconfigured failover allowing unauthorized access.,Access Control,IBM Cloud,0,1,0,0,0,0,0,0,0,0
,Alibaba Cloud ECS with misconfigured instance role allowing privilege escalation.,Privilege Escalation,Alibaba Cloud,25,1,0,1,0,0,0,1,0,0
,AWS ElastiCache with misconfigured snapshot allowing data exposure.,Data Exposure,AWS,55,1,1,0,1,0,0,0,1,0
,Azure Databricks with misconfigured notebook allowing code execution.,Code Injection,Azure,0,1,0,0,0,0,0,0,0,0
,GCP Cloud VPN with misconfigured routing table allowing traffic interception.,Network Security,GCP,0,1,0,0,0,0,0,0,0,0
,Oracle Cloud Compute with misconfigured metadata service allowing SSRF attacks.,Server-Side Request Forgery,Oracle Cloud,20,1,0,0,0,0,0,0,0,1
,IBM Cloud Functions with misconfigured sequence allowing unauthorized invocation.,Access Control,IBM Cloud,0,1,0,0,0,0,0,0,0,0
,Alibaba Cloud OSS with misconfigured lifecycle rule allowing data exposure.,Data Exposure,Alibaba Cloud,25,1,0,0,1,0,0,0,1,0
,AWS CodeBuild with misconfigured buildspec allowing code injection.,Code Injection,AWS,0,1,0,0,0,0,0,0,0,0
,Azure Cognitive Services with misconfigured logging exposing sensitive data.,Data Exposure,Azure,25,1,0,0,1,0,0,0,0,0
,GCP Cloud Spanner with misconfigured backup allowing data exposure.,Data Exposure,GCP,25,1,0,0,1,0,0,0,0,0
,Oracle Cloud API Gateway with misconfigured authentication allowing unauthorized access.,Authentication,Oracle Cloud,0,1,0,0,0,0,0,0,0,0
,IBM Cloud Security Group with misconfigured rules allowing traffic interception.,Network Security,IBM Cloud,0,1,0,0,0,0,0,0,0,0
,Alibaba Cloud ECS with misconfigured snapshot export allowing data leakage.,Data Exposure,Alibaba Cloud,25,1,0,0,1,0,0,0,0,0
,AWS S3 bucket with misconfigured event trigger allowing unauthorized invocation.,Access Control,AWS,30,1,1,0,0,0,0,0,1,0
,Azure Virtual Network with misconfigured subnet delegation allowing privilege escalation.,Privilege Escalation,Azure,25,1,0,1,0,0,0,0,0,0
,GCP Cloud DNS with misconfigured record set allowing domain hijacking.,Domain Hijacking,GCP,0,1,0,0,0,0,0,0,0,0
,Oracle Cloud Identity with misconfigured role allowing privilege escalation.,Privilege Escalation,Oracle Cloud,25,1,0,1,0,0,0,1,0,0
,IBM Cloud VPC with misconfigured endpoint gateway allowing unauthorized access.,Access Control,IBM Cloud,0,1,0,0,0,0,0,0,0,0
,Alibaba Cloud RDS with misconfigured replica allowing data tampering.,Data Exposure,Alibaba Cloud,25,1,0,0,1,0,0,0,0,0
,AWS SNS with misconfigured subscription endpoint allowing data exfiltration.,Data Exfiltration,AWS,0,1,0,0,0,0,0,0,0,0
,Azure Virtual Machine with misconfigured diagnostic agent allowing code execution.,Code Injection,Azure,0,1,0,0,0,0,0,0,0,0
,GCP Cloud SQL with misconfigured database flags allowing privilege escalation.,Privilege Escalation,GCP,25,1,0,1,0,0,0,0,0,0
,Oracle Cloud File Storage with misconfigured NFS options allowing unauthorized access.,Access Control,Oracle Cloud,0,1,0,0,0,0,0,0,0,0
,IBM Cloud Kubernetes with misconfigured pod affinity allowing resource exhaustion.,Denial of Service,IBM Cloud,10,1,0,0,0,1,0,0,0,0
,Alibaba Cloud OSS with misconfigured bucket notification allowing data exfiltration.,Data Exfiltration,Alibaba Cloud,0,1,0,0,0,0,0,0,1,0
,AWS EKS with misconfigured logging configuration exposing sensitive data.,Data Exposure,AWS,55,1,1,0,1,0,0,0,1,0
,Azure API Management with misconfigured caching allowing data leakage.,Data Exposure,Azure,25,1,0,0,1,0,0,0,0,0
,GCP Cloud Run with misconfigured memory allocation allowing resource exhaustion.,Denial of Service,GCP,10,1,0,0,0,1,0,0,0,0
,Oracle Cloud Load Balancer with misconfigured access log exposing sensitive data.,Data Exposure,Oracle Cloud,55,1,1,0,1,0,0,0,1,0
,IBM Cloud VPC with misconfigured floating IP allowing unauthorized access.,Access Control,IBM Cloud,0,1,0,0,0,0,0,0,0,0
,Alibaba Cloud RDS with misconfigured monitoring exposing database metrics.,Data Exposure,Alibaba Cloud,25,1,0,0,1,0,0,0,0,0
,AWS SNS with misconfigured topic policy allowing unauthorized access.,Access Control,AWS,0,1,0,0,0,0,0,1,0,0
,Azure Virtual Network with misconfigured network security group allowing lateral movement.,Network Security,Azure,0,1,0,0,0,0,0,0,0,0
,GCP Cloud SQL with misconfigured binary logging allowing data exposure.,Data Exposure,GCP,25,1,0,0,1,0,0,0,0,0
,Oracle Cloud File Storage with misconfigured snapshot policy allowing data exposure.,Data Exposure,Oracle Cloud,25,1,0,0,1,0,0,1,0,0
,IBM Cloud Databases with misconfigured audit logging exposing sensitive data.,Data Exposure,IBM Cloud,25,1,0,0,1,0,0,0,1,0
,Alibaba Cloud ECS with misconfigured auto-scaling policy allowing resource exhaustion.,Denial of Service,Alibaba Cloud,10,1,0,0,0,1,0,1,0,0
,AWS Lambda with misconfigured logging exposing sensitive data.,Data Exposure,AWS,55,1,1,0,1,0,0,0,1,0
,Azure Kubernetes with misconfigured cluster role allowing privilege escalation.,Privilege Escalation,Azure,25,1,0,1,0,0,0,1,0,0
,GCP Cloud Run with misconfigured IAM binding allowing unauthorized access.,Access Control,GCP,0,1,0,0,0,0,0,1,0,0
,Oracle Cloud Load Balancer with misconfigured health check allowing DoS attacks.,Denial of Service,Oracle Cloud,10,1,0,0,0,1,0,0,0,0
,IBM Cloud Functions with misconfigured logging destination exposing sensitive data.,Data Exposure,IBM Cloud,25,1,0,0,1,0,0,0,1,0
,Alibaba Cloud OSS with misconfigured bucket policy allowing data exfiltration.,Data Exfiltration,Alibaba Cloud,0,1,0,0,0,0,0,1,1,0
,AWS API Gateway with misconfigured logging exposing sensitive data.,Data Exposure,AWS,55,1,1,0,1,0,0,0,1,0
,Azure App Service with misconfigured CORS allowing data exfiltration.,Data Exfiltration,Azure,0,1,0,0,0,0,0,0,0,0
,GCP Cloud Storage with misconfigured bucket ACL allowing data tampering.,Data Exposure,GCP,25,1,0,0,1,0,0,0,1,0
,Oracle Cloud Database with misconfigured audit policy allowing undetected access.,Monitoring,Oracle Cloud,0,1,0,0,0,0,0,1,0,0
,AWS ECS with misconfigured network mode allowing container-to-host communication.,Network Security,AWS,0,1,0,0,0,0,0,0,0,0
,Azure Function with misconfigured managed identity allowing privilege escalation.,Privilege Escalation,Azure,25,1,0,1,0,0,0,0,0,0
,GCP Cloud Run with misconfigured service account allowing unauthorized access.,Access Control,GCP,0,1,0,0,0,0,0,0,0,0
,Oracle Cloud Compute with misconfigured firewall rule allowing SSH access.,Access Control,Oracle Cloud,0,1,0,0,0,0,0,0,0,0
,IBM Cloud Object Storage with misconfigured lifecycle rule exposing archived data.,Data Exposure,IBM Cloud,25,1,0,0,1,0,0,0,1,0
,Alibaba Cloud SLB with misconfigured listener allowing protocol downgrade attacks.,Encryption,Alibaba Cloud,0,1,0,0,0,0,0,0,0,0
,AWS S3 bucket with misconfigured CORS policy allowing data exfiltration.,Data Exfiltration,AWS,0,1,0,0,0,0,0,1,1,0
,Azure SQL Database with misconfigured TDE allowing data exposure.,Encryption,Azure,25,1,0,0,1,0,0,0,0,0
,GCP Cloud Functions with misconfigured environment variables exposing secrets.,Data Exposure,GCP,25,1,0,0,1,0,0,0,0,0
,Oracle Cloud VCN with misconfigured NAT gateway allowing traffic interception.,Network Security,Oracle Cloud,0,1,0,0,0,0,0,0,0,0
,IBM Cloud Kubernetes with misconfigured RBAC allowing privilege escalation.,Privilege Escalation,IBM Cloud,25,1,0,1,0,0,0,0,0,0
,Alibaba Cloud RDS with misconfigured parameter group exposing sensitive data.,Data Exposure,Alibaba Cloud,25,1,0,0,1,0,0,0,0,0
,AWS API Gateway with misconfigured request validator allowing injection attacks.,Injection,AWS,0,1,0,0,0,0,0,0,0,0
,Azure Cosmos DB with misconfigured partition key allowing data leakage.,Data Exposure,Azure,25,1,0,0,1,0,0,0,0,0
,GCP Cloud Storage with misconfigured bucket versioning exposing deleted objects.,Data Exposure,GCP,25,1,0,0,1,0,0,0,1,0
,Oracle Cloud Database with misconfigured network security group allowing unauthorized access.,Access Control,Oracle Cloud,0,1,0,0,0,0,0,0,0,0
,IBM Cloud Functions with misconfigured webhook allowing unauthorized invocation.,Access Control,IBM Cloud,30,1,1,0,0,0,0,0,0,0
,Alibaba Cloud OSS with misconfigured access log exposing request metadata.,Data Exposure,Alibaba Cloud,55,1,1,0,1,0,0,0,1,0
,AWS CloudTrail with misconfigured SNS notification allowing log tampering.,Monitoring,AWS,30,1,1,0,0,0,0,0,0,0
,Azure Virtual Machine with misconfigured boot diagnostics exposing sensitive data.,Data Exposure,Azure,25,1,0,0,1,0,0,0,0,0
,GCP Cloud Functions with misconfigured retry policy allowing resource exhaustion.,Denial of Service,GCP,10,1,0,0,0,1,0,1,0,0
,Oracle Cloud Load Balancer with misconfigured rate limiting allowing DoS attacks.,Denial of Service,Oracle Cloud,10,1,0,0,0,1,0,0,0,0
,IBM Cloud VPC with misconfigured subnet ACL allowing unauthorized access.,Access Control,IBM Cloud,0,1,0,0,0,0,0,0,0,0
,Alibaba Cloud ECS with misconfigured security group allowing RDP brute force.,Authentication,Alibaba Cloud,0,1,0,0,0,0,0,0,0,0
,AWS EKS with misconfigured pod security context allowing privilege escalation.,Privilege Escalation,AWS,25,1,0,1,0,0,0,0,0,0
,Azure API Management with misconfigured CORS allowing cross-origin attacks.,Data Exfiltration,Azure,0,1,0,0,0,0,0,0,0,0
,GCP Cloud SQL with misconfigured backup retention exposing old data.,Data Exposure,GCP,25,1,0,0,1,0,0,0,0,0
,Oracle Cloud Identity with misconfigured group membership allowing unauthorized access.,Access Control,Oracle Cloud,0,1,0,0,0,0,0,1,0,0
,IBM Cloud Functions with misconfigured timeout allowing resource exhaustion.,Denial of Service,IBM Cloud,10,1,0,0,0,1,0,0,0,0
,Alibaba Cloud OSS with misconfigured bucket policy allowing data tampering.,Data Exposure,Alibaba Cloud,25,1,0,0,1,0,0,1,1,0
,AWS SNS with misconfigured delivery retry policy allowing message loss.,Data Loss,AWS,0,1,0,0,0,0,0,1,0,0
,Azure Event Hub with misconfigured partition allowing data leakage.,Data Exposure,Azure,25,1,0,0,1,0,0,0,0,0
,GCP BigQuery with misconfigured table ACL allowing unauthorized access.,Access Control,GCP,0,1,0,0,0,0,0,0,0,0
,Oracle Cloud Object Storage with misconfigured lifecycle rule exposing archived data.,Data Exposure,Oracle Cloud,25,1,0,0,1,0,0,0,1,0
,IBM Cloud Kubernetes with misconfigured pod disruption budget allowing DoS attacks.,Denial of Service,IBM Cloud,10,1,0,0,0,1,0,0,0,0
,Alibaba Cloud ECS with misconfigured instance metadata exposing sensitive data.,Data Exposure,Alibaba Cloud,25,1,0,0,1,0,0,0,0,0
,AWS CloudFormation with misconfigured stack policy allowing unauthorized updates.,Access Control,AWS,0,1,0,0,0,0,0,1,0,0
,Azure Machine Learning with misconfigured model deployment allowing inference attacks.,Data Exposure,Azure,25,1,0,0,1,0,0,0,0,0
,GCP Cloud Monitoring with misconfigured alert policy exposing sensitive data.,Data Exposure,GCP,25,1,0,0,1,0,0,1,0,0
,Oracle Cloud Functions with misconfigured logging exposing sensitive data.,Data Exposure,Oracle Cloud,55,1,1,0,1,0,0,0,1,0
,IBM Cloud VPC with misconfigured VPN allowing weak encryption.,Encryption,IBM Cloud,0,1,0,0,0,0,0,0,0,0
,Alibaba Cloud RDS with misconfigured backup destination exposing data.,Data Exposure,Alibaba Cloud,55,1,1,0,1,0,0,0,1,0
,AWS Redshift with misconfigured snapshot policy allowing data exposure.,Data Exposure,AWS,55,1,1,0,1,0,0,1,1,0
,Azure Data Lake with misconfigured encryption exposing data.,Encryption,Azure,0,1,0,0,0,0,0,0,0,0
,GCP Cloud Composer with misconfigured environment allowing code injection.,Code Injection,GCP,0,1,0,0,0,0,0,0,0,0
,Oracle Cloud VCN with misconfigured security list allowing lateral movement.,Network Security,Oracle Cloud,0,1,0,0,0,0,0,0,0,0
,IBM Cloud Kubernetes with misconfigured webhook allowing unauthorized access.,Access Control,IBM Cloud,0,1,0,0,0,0,0,0,0,0
,Alibaba Cloud OSS with misconfigured bucket versioning exposing deleted objects.,Data Exposure,Alibaba Cloud,25,1,0,0,1,0,0,0,1,0
,AWS S3 bucket with misconfigured notification allowing unauthorized actions.,Access Control,AWS,30,1,1,0,0,0,0,0,1,0
,Azure Stream Analytics with misconfigured input allowing data tampering.,Data Exposure,Azure,25,1,0,0,1,0,0,0,0,0
,GCP Cloud Armor with misconfigured SQL injection protection allowing attacks.,Injection,GCP,0,1,0,0,0,0,0,0,0,0
,Oracle Cloud File Storage with misconfigured access policy allowing data exposure.,Data Exposure,Oracle Cloud,25,1,0,0,1,0,0,1,0,0
,IBM Cloud Databases with misconfigured connection string exposing credentials.,Data Exposure,IBM Cloud,55,1,1,0,1,0,0,0,0,0
,Alibaba Cloud ECS with misconfigured auto-scaling rule allowing DoS attacks.,Denial of Service,Alibaba Cloud,10,1,0,0,0,1,0,0,0,0
,AWS ElastiCache with misconfigured access control allowing unauthorized access.,Access Control,AWS,0,1,0,0,0,0,0,0,0,0
,Azure Databricks with misconfigured workspace allowing unauthorized access.,Access Control,Azure,0,1,0,0,0,0,0,0,0,0
,GCP Cloud VPN with misconfigured peer allowing traffic interception.,Network Security,GCP,0,1,0,0,0,0,0,0,0,0
,Oracle Cloud Compute with misconfigured user data allowing code injection.,Code Injection,Oracle Cloud,0,1,0,0,0,0,0,0,0,0
,IBM Cloud Functions with misconfigured namespace allowing code execution.,Code Injection,IBM Cloud,0,1,0,0,0,0,0,0,0,0
,Alibaba Cloud OSS with misconfigured bucket ACL allowing data exposure.,Data Exposure,Alibaba Cloud,25,1,0,0,1,0,0,0,1,0
,AWS CodeBuild with misconfigured environment variables exposing secrets.,Data Exposure,AWS,25,1,0,0,1,0,0,0,0,0
,Azure Cognitive Services with misconfigured endpoint authentication allowing unauthorized access.,Authentication,Azure,0,1,0,0,0,0,0,0,0,0
,GCP Cloud Spanner with misconfigured IAM policy allowing unauthorized access.,Access Control,GCP,0,1,0,0,0,0,0,1,0,0
,Oracle Cloud API Gateway with misconfigured rate limiting allowing DoS attacks.,Denial of Service,Oracle Cloud,10,1,0,0,0,1,0,0,0,0
,IBM Cloud Security Group with misconfigured ingress rules allowing unauthorized access.,Access Control,IBM Cloud,0,1,0,0,0,0,0,0,0,0
,Alibaba Cloud ECS with misconfigured monitoring policy exposing metrics.,Data Exposure,Alibaba Cloud,25,1,0,0,1,0,0,1,0,0
,AWS S3 bucket with misconfigured encryption exposing data.,Encryption,AWS,0,1,0,0,0,0,0,0,1,0
,Azure Virtual Network with misconfigured peering allowing lateral movement.,Network Security,Azure,0,1,0,0,0,0,0,0,0,0
,GCP Cloud DNS with misconfigured zone allowing DNS spoofing.,Domain Hijacking,GCP,0,1,0,0,0,0,0,0,0,0
,Oracle Cloud Identity with misconfigured policy allowing privilege escalation.,Privilege Escalation,Oracle Cloud,25,1,0,1,0,0,0,1,0,0
,IBM Cloud VPC with misconfigured flow logs exposing network traffic.,Data Exposure,IBM Cloud,25,1,0,0,1,0,0,0,1,0
,Alibaba Cloud RDS with misconfigured read-only user allowing data tampering.,Data Exposure,Alibaba Cloud,25,1,0,0,1,0,0,0,0,0
,AWS SNS with misconfigured subscription policy allowing data exfiltration.,Data Exfiltration,AWS,0,1,0,0,0,0,0,1,0,0
,Azure Virtual Machine with misconfigured extension allowing privilege escalation.,Privilege Escalation,Azure,25,1,0,1,0,0,0,0,0,0
,GCP Cloud SQL with misconfigured audit logging exposing sensitive queries.,Data Exposure,GCP,25,1,0,0,1,0,0,0,0,0
,Oracle Cloud File Storage with misconfigured export set allowing unauthorized access.,Access Control,Oracle Cloud,0,1,0,0,0,0,0,0,0,0
,IBM Cloud Kubernetes with misconfigured resource limits allowing resource exhaustion.,Denial of Service,IBM Cloud,10,1,0,0,0,1,0,0,0,0
,Alibaba Cloud OSS with misconfigured bucket notification exposing data.,Data Exfiltration,Alibaba Cloud,30,1,1,0,0,0,0,0,1,0
,AWS EKS with misconfigured cluster logging exposing sensitive data.,Data Exposure,AWS,55,1,1,0,1,0,0,0,1,0
,Azure API Management with misconfigured subscription key allowing unauthorized access.,Access Control,Azure,0,1,0,0,0,0,0,0,0,0
,GCP Cloud Run with misconfigured concurrency allowing DoS attacks.,Denial of Service,GCP,10,1,0,0,0,1,0,0,0,0
,Oracle Cloud Load Balancer with misconfigured SSL certificate allowing weak encryption.,Encryption,Oracle Cloud,0,1,0,0,0,0,0,0,0,0
,IBM Cloud VPC with misconfigured public gateway allowing traffic interception.,Network Security,IBM Cloud,30,1,1,0,0,0,0,0,0,0
,Alibaba Cloud RDS with misconfigured maintenance policy allowing DoS attacks.,Denial of Service,Alibaba Cloud,10,1,0,0,0,1,0,1,0,0
,AWS SNS with misconfigured message filtering exposing sensitive data.,Data Exposure,AWS,25,1,0,0,1,0,0,0,0,0
,Azure Virtual Network with misconfigured service endpoint allowing data exfiltration.,Data Exfiltration,Azure,0,1,0,0,0,0,0,0,0,0
,GCP Cloud SQL with misconfigured user permissions allowing privilege escalation.,Privilege Escalation,GCP,25,1,0,1,0,0,0,1,0,0
,Oracle Cloud File Storage with misconfigured mount target allowing unauthorized access.,Access Control,Oracle Cloud,0,1,0,0,0,0,0,0,0,0
,IBM Cloud Databases with misconfigured backup policy exposing data.,Data Exposure,IBM Cloud,25,1,0,0,1,0,0,1,1,0
,Alibaba Cloud ECS with misconfigured snapshot policy allowing data exposure.,Data Exposure,Alibaba Cloud,25,1,0,0,1,0,0,1,0,0
,AWS Lambda with misconfigured function policy allowing unauthorized invocation.,Access Control,AWS,0,1,0,0,0,0,0,1,0,0
,Azure Kubernetes with misconfigured network policy allowing unauthorized access.,Access Control,Azure,0,1,0,0,0,0,0,1,0,0
,GCP Cloud Run with misconfigured environment variable exposing secrets.,Data Exposure,GCP,25,1,0,0,1,0,0,0,0,0
,Oracle Cloud Load Balancer with misconfigured backend set allowing unauthorized access.,Access Control,Oracle Cloud,0,1,0,0,0,0,0,0,0,0
,IBM Cloud Functions with misconfigured trigger allowing unauthorized invocation.,Access Control,IBM Cloud,0,1,0,0,0,0,0,0,0,0
,Alibaba Cloud OSS with misconfigured CORS allowing data exfiltration.,Data Exfiltration,Alibaba Cloud,0,1,0,0,0,0,0,0,1,0
,AWS API Gateway with misconfigured throttling allowing DoS attacks.,Denial of Service,AWS,10,1,0,0,0,1,0,0,0,0
,Azure App Service with misconfigured authentication allowing session hijacking.,Session Management,Azure,0,1,0,0,0,0,0,0,0,0
,GCP Cloud Storage with misconfigured bucket policy allowing data exposure.,Data Exposure,GCP,25,1,0,0,1,0,0,1,1,0
,Oracle Cloud Database with misconfigured encryption key exposing data.,Encryption,Oracle Cloud,0,1,0,0,0,0,0,0,0,0
,AWS ECS with misconfigured task definition allowing container breakout.,Privilege Escalation,AWS,25,1,0,1,0,0,0,0,0,0
,Azure Function with misconfigured CORS policy allowing cross-origin data leakage.,Data Exfiltration,Azure,25,1,0,0,1,0,0,1,0,0
,GCP Cloud Run with misconfigured autoscaling allowing resource exhaustion.,Denial of Service,GCP,10,1,0,0,0,1,0,0,0,0
,Oracle Cloud Compute with misconfigured instance metadata exposing credentials.,Data Exposure,Oracle Cloud,25,1,0,0,1,0,0,0,0,0
,IBM Cloud Object Storage with misconfigured versioning exposing deleted objects.,Data Exposure,IBM Cloud,25,1,0,0,1,0,0,0,1,0
,Alibaba Cloud SLB with misconfigured health check allowing DoS attacks.,Denial of Service,Alibaba Cloud,10,1,0,0,0,1,0,0,0,0
